|name   |alt_name |ra         |dec        |vmag |bv_color|hr  |parallax|ub_color|
|HR 8333|Omi Ind  |21 50 47.11|-69 37 45.8| 5.53|1.37    |8333|0.029   |1.63    |
|HR 5066|         |13 28 46.39|-69 37 41.2| 6.20|0.02    |5066|        |-0.42   |
|HR 83  |Pi  Tuc  |00 20 39.00|-69 37 30.0| 5.51|-0.05   |  83|0.011   |-0.14   |
|HR 1053|         |03 24 02.50|-69 37 28.9| 6.15|0.48    |1053|        |0.25    |
|HR 7838|         |20 35 51.70|-69 36 40.0| 6.11|1.29    |7838|        |1.41    |
|HR 270 |Lam2Tuc  |00 55 00.31|-69 31 36.8| 5.45|1.09    | 270|0.035   |1.00    |
|HR 8196|         |21 28 44.90|-69 30 19.1| 5.34|1.55    |8196|0.023   |1.45    |
|HR 252 |Lam1Tuc  |00 52 24.29|-69 30 15.8| 6.22|0.56    | 252|        |0.08    |
|HR 4820|         |12 42 05.11|-69 24 27.0| 6.33|0.78    |4820|        |0.54    |
|HR 5194|         |13 51 47.40|-69 24 05.0| 5.75|1.73    |5194|        |2.02    |
|HR 1064|         |03 25 36.19|-69 20 11.0| 5.96|0.42    |1064|        |0.01    |
|HR 6276|         |16 59 33.79|-69 16 05.9| 5.79|-0.10   |6276|        |-0.44   |
|HR 959 |         |03 07 49.20|-69 15 56.2| 6.15|1.02    | 959|        |0.83    |
|HR 4597|         |12 02 37.70|-69 11 31.9| 5.89|-0.08   |4597|        |-0.28   |
|HR 7274|Tau Pav  |19 16 28.49|-69 11 26.2| 6.27|0.17    |7274|        |0.14    |
|HR 7579|         |19 58 41.30|-69 09 50.0| 5.75|0.23    |7579|0.032   |0.16    |
|HR 4798|Alp Mus  |12 37 10.99|-69 08 08.2| 2.69|-0.20   |4798|        |-0.83   |
|HR 3949|         |09 56 59.69|-69 06 06.8| 6.20|-0.10   |3949|        |-0.62   |
|HR 6217|Alp TrA  |16 48 39.89|-69 01 40.1| 1.92|1.44    |6217|0.031   |1.56    |
|HR 377 |Kap Tuc  |01 15 46.10|-68 52 34.0| 4.86|0.47    | 377|0.061   |0.03    |
|HR 2221|Nu  Dor  |06 08 44.21|-68 50 35.9| 5.06|-0.08   |2221|        |-0.21   |
|HR 2712|         |07 06 14.09|-68 50 13.9| 6.47|1.04    |2712|        |0.87    |
|HR 8769|         |23 04 52.20|-68 49 13.1| 5.52|0.36    |8769|        |0.12    |
|HR 7934|Sig Pav  |20 49 18.10|-68 46 35.0| 5.41|1.12    |7934|0.000   |1.10    |
|HR 7588|         |19 58 52.99|-68 45 43.9| 6.39|0.16    |7588|        |0.09    |
|HR 7161|         |19 03 29.69|-68 45 19.1| 5.88|0.56    |7161|        |0.13    |
|HR 3712|         |09 17 17.21|-68 41 21.8| 5.39|0.42    |3712|0.058   |-0.03   |
|HR 3610|         |09 01 08.50|-68 41 02.0| 5.88|1.63    |3610|        |1.97    |
|HR 4002|         |10 09 30.50|-68 40 59.9| 5.81|0.02    |4002|0.007   |-0.02   |
|HR 5671|Gam TrA  |15 18 54.60|-68 40 45.8| 2.89|0.00    |5671|0.010   |-0.02   |
|HR 705 |Del Hyi  |02 21 44.90|-68 39 33.8| 4.09|0.03    | 705|0.050   |0.05    |
|HR 4614|         |12 06 19.80|-68 39 02.9| 6.23|1.24    |4614|        |1.04    |
|HR 1859|         |05 27 00.00|-68 37 22.1| 6.03|0.34    |1859|0.012   |0.03    |
|HR 3223|Eps Vol  |08 07 55.80|-68 37 01.9| 4.35|-0.11   |3223|        |-0.46   |
|HR 5891|Kap TrA  |15 55 29.59|-68 36 11.2| 5.09|1.13    |5891|0.007   |0.94    |
|HR 7383|         |19 31 10.90|-68 26 02.0| 5.96|1.64    |7383|        |1.93    |
|HR 7221|         |19 09 52.70|-68 25 28.9| 5.33|0.91    |7221|0.030   |0.61    |
|HR 9007|         |23 47 23.30|-68 23 39.1| 6.89|0.46    |9007|        |0.06    |
|HR 7320|         |19 24 05.40|-68 22 16.0| 6.34|1.23    |7320|        |1.25    |
|HR 4604|         |12 04 38.71|-68 19 45.1| 5.35|-0.01   |4604|0.016   |-0.17   |
|HR 5713|         |15 26 14.69|-68 18 33.1| 5.89|1.02    |5713|        |0.77    |
|HR 4704|Zet1Mus  |12 22 11.90|-68 18 27.0| 5.74|1.04    |4704|        |0.82    |
|HR 6172|Eta1TrA  |16 41 23.30|-68 17 46.0| 5.91|-0.08   |6172|        |-0.42   |
|HR 806 |Eps Hyi  |02 39 35.40|-68 16 00.8| 4.11|-0.06   | 806|        |-0.14   |
|HR 6808|         |18 18 00.91|-68 13 45.1| 6.33|-0.04   |6808|        |-0.23   |
|HR 3491|         |08 43 54.31|-68 12 42.1| 6.32|1.50    |3491|        |1.78    |
|HR 8019|         |21 01 28.10|-68 12 34.9| 6.37|0.10    |8019|        |0.11    |
|HR 5379|         |14 25 06.29|-68 11 43.1| 5.61|0.49    |5379|        |0.01    |
|HR 4844|Bet Mus  |12 46 16.90|-68 06 29.2| 3.05|-0.18   |4844|0.015   |-0.74   |
|HR 4671|Eps Mus  |12 17 34.10|-67 57 38.9| 4.11|1.58    |4671|0.046   |1.55    |
|HR 2803|Del Vol  |07 16 49.80|-67 57 25.9| 3.98|0.79    |2803|0.004   |0.45    |
|HR 6037|         |16 17 05.50|-67 56 29.0| 5.75|0.15    |6037|        |0.09    |
|HR 5443|         |14 37 46.30|-67 55 55.9| 6.04|0.50    |5443|0.051   |-0.02   |
|HR 2662|         |06 59 50.50|-67 54 58.0| 5.17|1.40    |2662|0.037   |1.65    |
|HR 4993|Eta Mus  |13 15 14.90|-67 53 39.8| 4.80|-0.08   |4993|        |-0.35   |
|HR 667 |Pi 1Hyi  |02 14 14.69|-67 50 30.1| 5.55|1.55    | 667|0.013   |1.85    |
|HR 4379|         |11 17 19.01|-67 49 25.0| 6.06|1.76    |4379|        |1.93    |
|HR 6417|Zet Aps  |17 21 59.40|-67 46 14.2| 4.78|1.21    |6417|0.014   |1.27    |
|HR 678 |Pi 2Hyi  |02 15 28.51|-67 44 47.0| 5.69|1.30    | 678|        |1.48    |
|HR 5408|         |14 31 16.51|-67 43 01.9| 5.83|1.00    |5408|        |0.78    |
|HR 6231|         |16 52 17.40|-67 40 54.8| 6.32|1.28    |6231|        |1.51    |
|HR 5218|         |13 54 48.91|-67 39 09.0| 5.71|1.49    |5218|        |1.67    |
|HR 570 |Eta2Hyi  |01 54 56.09|-67 38 49.9| 4.69|0.95    | 570|        |0.64    |
|HR 4710|         |12 23 13.80|-67 37 54.1| 6.36|0.89    |4710|0.013   |0.53    |
|HR 4485|         |11 37 48.41|-67 37 13.1| 5.96|1.02    |4485|        |0.83    |
|HR 837 |Zet Hyi  |02 45 32.59|-67 37 00.1| 4.84|0.06    | 837|0.009   |0.09    |
|HR 4703|Zet2Mus  |12 22 07.30|-67 31 18.8| 5.15|0.19    |4703|0.007   |0.17    |
|HR 8547|         |22 28 37.70|-67 29 21.1| 5.55|0.20    |8547|        |0.08    |
|HR 5684|         |15 20 40.70|-67 28 53.0| 6.28|-0.09   |5684|        |-0.61   |
|HR 8855|         |23 18 19.99|-67 28 16.0| 6.13|1.35    |8855|        |1.58    |
|HR 6182|         |16 43 22.10|-67 25 57.0| 6.03|0.02    |6182|        |0.02    |
|HR 7644|         |20 05 32.81|-67 19 14.9| 6.07|0.64    |7644|0.054   |0.08    |
|HR 7107|Kap Pav  |18 56 57.00|-67 14 01.0| 4.44|0.71    |7107|0.010   |0.60    |
|HR 6368|         |17 13 17.50|-67 11 48.1| 5.89|1.06    |6368|        |0.90    |
|HR 4806|         |12 38 52.51|-67 11 35.2| 6.25|0.06    |4806|        |-0.85   |
|HR 1744|The Dor  |05 13 45.41|-67 11 07.1| 4.83|1.28    |1744|-0.006  |1.39    |
|HR 6204|         |16 46 40.01|-67 06 34.9| 5.13|-0.08   |6204|0.005   |-0.45   |
|HR 5621|         |15 09 29.90|-67 05 03.1| 5.76|0.69    |5621|        |0.39    |
|HR 3713|         |09 17 51.70|-67 03 02.9| 6.11|1.26    |3713|        |1.10    |
|HR 4129|         |10 30 08.71|-66 59 06.0| 6.19|0.01    |4129|        |-0.53   |
|HR 4448|         |11 32 19.90|-66 57 43.9| 5.90|1.13    |4448|        |1.12    |
|HR 7603|Mu 1Pav  |20 00 22.99|-66 56 57.8| 5.76|1.04    |7603|0.037   |0.80    |
|HR 7612|Mu 2Pav  |20 01 52.39|-66 56 39.1| 5.31|1.22    |7612|0.025   |1.29    |
|HR 1014|         |03 17 58.99|-66 55 36.8| 6.05|0.13    |1014|        |0.10    |
|HR 4089|         |10 22 58.10|-66 54 06.1| 4.99|-0.13   |4089|        |-0.51   |
|HR 2064|Eps Dor  |05 49 53.59|-66 54 04.0| 5.11|-0.14   |2064|0.012   |-0.49   |
|HR 8809|         |23 10 11.69|-66 51 27.0| 6.47|0.95    |8809|        |0.72    |
|HR 4530|Mu  Mus  |11 48 14.30|-66 48 52.9| 4.72|1.54    |4530|0.013   |1.91    |
|HR 7513|         |19 49 53.30|-66 48 46.1| 6.45|1.48    |7513|        |1.72    |
|HR 3537|         |08 50 34.80|-66 47 35.2| 5.35|0.42    |3537|0.031   |0.07    |
|HR 5002|         |13 17 13.01|-66 47 01.0| 4.87|1.50    |5002|0.007   |1.58    |
|HR 7881|Ups Pav  |20 41 57.10|-66 45 38.9| 5.15|-0.06   |7881|        |-0.28   |
|HR 4520|Lam Mus  |11 45 36.41|-66 43 43.0| 3.64|0.16    |4520|        |0.15    |
|HR 3813|         |09 31 32.90|-66 43 09.8| 6.27|1.35    |3813|        |1.38    |
|HR 823 |         |02 43 26.59|-66 42 51.8| 6.26|0.53    | 823|0.010   |0.01    |
|HR 3783|         |09 28 30.60|-66 42 06.8| 5.91|0.01    |3783|        |-0.02   |
|HR 7435|         |19 39 52.10|-66 41 08.2| 6.39|0.02    |7435|        |0.04    |
|HR 1598|         |04 53 30.50|-66 40 32.2| 6.41|1.63    |1598|        |1.96    |
|HR 7278|         |19 17 12.00|-66 39 41.0| 5.53|0.18    |7278|        |0.13    |
|HR 7130|         |19 00 03.50|-66 39 11.9| 6.01|0.97    |7130|        |0.80    |
|HR 5500|         |14 48 44.40|-66 35 38.0| 5.91|-0.07   |5500|        |-0.70   |
|HR 5320|         |14 16 38.59|-66 35 16.1| 5.75|-0.06   |5320|        |-0.87   |
|HR 8908|         |23 27 07.20|-66 34 52.0| 6.45|1.47    |8908|        |1.77    |
|HR 1960|         |05 36 54.70|-66 33 37.1| 6.31|-0.07   |1960|        |-0.15   |
|HR 4814|         |12 39 55.61|-66 30 42.1| 6.26|-0.05   |4814|        |-0.20   |
|HR 722 |         |02 25 26.30|-66 29 40.9| 6.41|1.54    | 722|        |1.46    |
|HR 1092|         |03 30 51.60|-66 29 22.9| 5.83|-0.06   |1092|        |-0.33   |
|HR 380 |         |01 17 03.60|-66 23 53.2| 6.24|0.05    | 380|0.010   |-0.02   |
|HR 3615|Alp Vol  |09 02 26.81|-66 23 46.0| 4.00|0.14    |3615|0.051   |0.13    |
|HR 4025|         |10 13 30.60|-66 22 23.2| 5.16|0.21    |4025|0.012   |0.18    |
|HR 7663|         |20 08 20.50|-66 21 16.9| 6.45|1.58    |7663|        |1.98    |
|HR 5771|Eps TrA  |15 36 43.20|-66 19 00.8| 4.11|1.17    |5771|0.038   |1.16    |
|HR 5253|         |14 00 52.20|-66 16 07.0| 5.97|0.35    |5253|        |0.07    |
|HR 4977|         |13 12 48.91|-66 13 36.8| 5.90|0.06    |4977|        |0.04    |
|HR 7913|Bet Pav  |20 44 57.50|-66 12 11.2| 3.42|0.16    |7913|0.035   |0.12    |
|HR 3081|         |07 49 40.99|-66 11 44.9| 5.79|-0.04   |3081|        |-0.16   |
|HR 7665|Del Pav  |20 08 43.61|-66 10 54.8| 3.56|0.76    |7665|0.170   |0.45    |
|HR 5382|         |14 25 39.50|-66 10 23.9| 6.36|0.13    |5382|        |0.06    |
|HR 3347|Bet Vol  |08 25 44.21|-66 08 12.8| 3.77|1.13    |3347|0.042   |1.14    |
|HR 3036|         |07 44 43.90|-66 04 18.8| 6.38|0.95    |3036|        |0.66    |
|HR 600 |         |01 59 41.09|-66 03 59.0| 6.10|1.17    | 600|        |1.21    |
|HR 2194|Eta1Dor  |06 06 09.41|-66 02 22.9| 5.71|-0.03   |2194|        |-0.07   |
|HR 5539|Zet Cir  |14 54 42.41|-65 59 29.0| 6.09|-0.06   |5539|        |-0.60   |
|HR 7455|         |19 41 37.49|-65 51 15.1| 6.09|1.55    |7455|        |1.96    |
|HR 4692|         |12 20 28.01|-65 50 34.1| 6.21|-0.04   |4692|        |-0.15   |
|HR 3495|         |08 44 30.00|-65 49 32.2| 6.05|0.20    |3495|        |0.08    |
|HR 5391|         |14 27 07.10|-65 49 18.1| 5.85|1.50    |5391|        |1.76    |
|HR 3995|         |10 08 42.60|-65 48 55.1| 5.28|0.98    |3995|-0.014  |0.75    |
|HR 5242|         |13 58 31.20|-65 48 02.2| 6.20|1.05    |5242|        |0.81    |
|HR 4720|         |12 25 17.30|-65 46 14.2| 6.30|0.96    |4720|        |0.74    |
|HR 1104|         |03 34 24.70|-65 45 51.8| 6.75|0.17    |1104|        |0.15    |
|HR 2015|Del Dor  |05 44 46.39|-65 44 08.2| 4.35|0.21    |2015|0.027   |0.12    |
|HR 4615|         |12 06 23.11|-65 42 33.1| 6.06|0.65    |4615|        |0.40    |
|HR 4115|         |10 27 25.30|-65 42 16.9| 6.01|0.09    |4115|        |0.11    |
|HR 4669|         |12 17 06.00|-65 41 34.1| 6.06|0.03    |4669|        |-0.05   |
|HR 5093|         |13 33 35.69|-65 37 57.0| 6.37|-0.02   |5093|        |-0.08   |
|HR 3280|         |08 18 18.91|-65 36 47.9| 5.07|1.15    |3280|0.013   |1.19    |
|HR 5766|         |15 36 17.40|-65 36 47.9| 6.51|0.35    |5766|        |0.03    |
|HR 7524|         |19 51 01.30|-65 36 18.0| 6.05|0.30    |7524|        |0.08    |
|HR 2245|Eta2Dor  |06 11 15.00|-65 35 21.8| 5.01|1.62    |2245|0.009   |1.86    |
|HR 9076|Eps Tuc  |23 59 55.01|-65 34 37.9| 4.50|-0.08   |9076|        |-0.28   |
|HR 2408|         |06 30 03.00|-65 34 05.9| 6.29|0.33    |2408|        |0.06    |
|HR 4611|         |12 05 53.21|-65 32 49.9| 6.33|0.22    |4611|        |-0.47   |
|HR 6151|The TrA  |16 35 44.81|-65 29 43.1| 5.52|0.93    |6151|0.014   |0.73    |
|HR 6634|         |17 53 18.41|-65 29 21.1| 6.49|1.08    |6634|        |1.00    |
|HR 187 |Rho Tuc  |00 42 28.39|-65 28 05.2| 5.39|0.50    | 187|0.038   |0.02    |
|HR 304 |         |01 02 42.91|-65 27 22.0| 6.21|1.64    | 304|        |1.91    |
|HR 5851|         |15 47 53.59|-65 26 33.0| 6.18|0.22    |5851|        |0.10    |
|HR 5852|         |15 47 53.71|-65 26 33.0| 6.39|0.24    |5852|        |0.10    |
|HR 584 |         |01 57 53.59|-65 25 28.9| 6.37|0.90    | 584|        |0.62    |
|HR 4492|         |11 39 29.40|-65 23 52.1| 5.17|0.80    |4492|0.006   |0.36    |
|HR 6233|         |16 51 53.90|-65 22 32.2| 6.13|-0.02   |6233|        |-0.28   |
|HR 8181|Gam Pav  |21 26 26.59|-65 21 58.0| 4.22|0.49    |8181|0.111   |-0.12   |
|HR 4952|The Mus  |13 08 07.01|-65 18 23.0| 5.51|-0.02   |4952|        |-0.87   |
|HR 5611|         |15 07 56.81|-65 16 32.2| 6.17|1.47    |5611|        |1.70    |
|HR 4549|         |11 51 51.19|-65 12 22.0| 4.90|-0.11   |4549|        |-0.54   |
|HR 5876|         |15 52 56.71|-65 09 09.0| 6.54|0.19    |5876|        |0.12    |
|HR 5000|         |13 16 44.81|-65 08 17.9| 6.07|0.44    |5000|        |-0.02   |
|HR 160 |         |00 36 37.39|-65 07 28.9| 6.42|1.26    | 160|        |1.38    |
|HR 4185|         |10 40 11.30|-65 06 02.2| 5.52|-0.16   |4185|        |-0.57   |
|HR 7036|The Pav  |18 48 37.80|-65 04 40.1| 5.73|0.24    |7036|        |0.11    |
|HR 3891|Ups Car  |09 47 06.70|-65 04 21.0| 6.26|0.08    |3891|0.027   |-0.54   |
|HR 3890|Ups Car  |09 47 06.10|-65 04 18.8| 3.01|0.28    |3890|0.027   |0.18    |
|HR 5920|         |15 58 58.10|-65 02 16.1| 5.75|-0.06   |5920|        |-0.40   |
|HR 5463|Alp Cir  |14 42 30.41|-64 58 31.1| 3.19|0.24    |5463|0.056   |0.12    |
|HR 8540|Del Tuc  |22 27 19.99|-64 57 59.0| 4.48|-0.03   |8540|        |-0.07   |
|HR 4401|         |11 23 21.79|-64 57 18.0| 5.11|-0.08   |4401|0.010   |-0.42   |
|HR 3841|         |09 36 05.11|-64 57 02.2| 6.56|0.10    |3841|        |0.11    |
|HR 3761|         |09 26 44.21|-64 55 46.9| 6.05|0.15    |3761|        |0.10    |
|HR 77  |Zet Tuc  |00 20 04.30|-64 52 28.9| 4.23|0.58    |  77|0.134   |0.02    |
|HR 7012|         |18 45 26.90|-64 52 17.0| 4.79|0.20    |7012|0.035   |0.08    |
|HR 3671|NGC 2808 |09 12 02.80|-64 51 48.0|     |        |3671|        |        |
|HR 4326|         |11 06 24.19|-64 50 22.9| 6.41|0.12    |4326|        |0.13    |
|HR 8249|         |21 38 02.90|-64 49 27.1| 6.20|0.03    |8249|        |0.05    |
|HR 1175|Bet Ret  |03 44 12.00|-64 48 24.8| 3.85|1.13    |1175|0.042   |1.10    |
|HR 6582|Eta Pav  |17 45 43.99|-64 43 26.0| 3.62|1.19    |6582|0.025   |1.17    |
|HR 8331|         |21 50 00.10|-64 42 45.0| 5.62|1.02    |8331|        |0.83    |
|HR 8945|         |23 35 12.70|-64 41 21.8| 7.40|        |8945|        |        |
|HR 8125|         |21 18 00.31|-64 40 54.1| 6.31|-0.07   |8125|        |-0.22   |
|HR 4065|         |10 19 04.80|-64 40 35.0| 5.67|0.05    |4065|        |0.05    |
|HR 5069|         |13 29 07.61|-64 40 32.9| 6.11|0.11    |5069|        |0.05    |
|HR 6996|         |18 42 22.51|-64 38 35.2| 6.37|0.15    |6996|        |0.14    |
|HR 4616|Eta Cru  |12 06 52.90|-64 36 49.0| 4.15|0.34    |4616|0.053   |0.03    |
|HR 3346|         |08 25 51.60|-64 36 02.9| 5.97|0.96    |3346|        |0.73    |
|HR 4384|         |11 19 16.51|-64 34 57.0| 5.99|0.46    |4384|        |0.00    |
|HR 5130|         |13 40 10.90|-64 34 36.8| 5.79|0.39    |5130|        |0.02    |
|HR 7004|         |18 43 37.20|-64 33 04.0| 5.78|0.96    |7004|        |0.77    |
|HR 6740|         |18 07 48.31|-64 33 00.0| 6.41|1.26    |6740|        |1.41    |
|HR 5041|         |13 24 00.50|-64 32 08.9| 4.53|0.85    |5041|0.002   |0.47    |
|HR 5725|         |15 27 33.10|-64 31 53.0| 5.71|1.64    |5725|        |1.98    |
|HR 4219|         |10 46 16.51|-64 30 54.0| 5.34|-0.10   |4219|        |-0.45   |
|HR 2888|         |07 28 51.31|-64 30 36.0| 6.39|1.56    |2888|        |1.85    |
|HR 3632|         |09 06 07.61|-64 29 58.9| 6.37|1.35    |3632|        |1.58    |
|HR 3948|         |09 57 15.19|-64 29 21.8| 6.58|1.13    |3948|        |1.08    |
|HR 5048|         |13 25 13.90|-64 29 07.1| 5.31|0.40    |5048|0.008   |-0.01   |
|HR 2104|         |05 54 11.90|-64 28 55.9| 6.63|0.38    |2104|        |0.10    |
|HR 4196|         |10 42 13.99|-64 27 59.0| 4.82|-0.14   |4196|        |-0.58   |
|HR 880 |         |02 54 20.90|-64 26 08.2| 6.56|1.39    | 880|        |1.59    |
|HR 4653|         |12 14 16.80|-64 24 31.0| 6.22|0.12    |4653|        |-0.82   |
|HR 8996|         |23 44 12.00|-64 24 15.8| 5.72|1.40    |8996|0.007   |1.63    |
|HR 4199|The Car  |10 42 57.41|-64 23 39.8| 2.76|-0.22   |4199|        |-1.01   |
|HR 4222|         |10 46 51.19|-64 22 59.9| 4.85|-0.15   |4222|        |-0.65   |
|HR 420 |         |01 25 05.30|-64 22 09.8| 5.93|1.56    | 420|        |1.92    |
|HR 4744|         |12 28 18.91|-64 20 29.0| 6.04|0.02    |4744|        |-0.03   |
|HR 4578|         |11 58 47.69|-64 20 21.1| 5.61|0.18    |4578|        |-0.11   |
|HR 734 |         |02 28 04.39|-64 17 58.9| 6.37|-0.04   | 734|        |-0.05   |
|HR 9062|Eta Tuc  |23 57 35.21|-64 17 53.9| 5.00|0.06    |9062|0.036   |0.08    |
|HR 798 |         |02 39 31.70|-64 16 54.8| 6.55|-0.08   | 798|        |-0.24   |
|HR 4220|         |10 46 29.69|-64 15 47.9| 5.23|-0.07   |4220|        |-0.47   |
|HR 4204|         |10 43 51.19|-64 14 56.0| 5.77|0.00    |4204|        |-0.57   |
|HR 1917|         |05 32 59.59|-64 13 39.0| 5.34|1.04    |1917|0.010   |0.85    |
|HR 1294|         |04 07 21.60|-64 13 21.0| 6.38|0.64    |1294|0.038   |0.11    |
|HR 4120|         |10 28 52.61|-64 10 19.9| 5.29|1.86    |4120|0.010   |2.10    |
|HR 4355|         |11 12 45.19|-64 10 10.9| 5.23|-0.06   |4355|        |-0.25   |
|HR 3298|         |08 21 07.70|-64 06 22.0| 6.12|0.93    |3298|        |        |
|HR 909 |Bet Hor  |02 58 47.81|-64 04 17.0| 4.99|0.13    | 909|        |0.15    |
|HR 6109|Iot TrA  |16 27 57.31|-64 03 29.2| 5.27|0.36    |6109|0.029   |-0.02   |
|HR 2073|         |05 51 22.99|-64 02 01.0| 6.36|0.86    |2073|        |0.57    |
|HR 5593|Eta Cir  |15 04 48.19|-64 01 54.1| 5.17|0.93    |5593|0.032   |        |
|HR 4679|Zet Cru  |12 18 26.09|-64 00 11.2| 4.04|-0.17   |4679|        |-0.69   |
|HR 4413|         |11 25 43.20|-63 58 22.1| 5.17|0.50    |4413|0.040   |0.04    |
|HR 4205|         |10 44 06.89|-63 57 40.0| 4.82|-0.13   |4205|        |-0.62   |
|HR 8073|         |21 08 32.90|-63 55 44.0| 5.76|1.18    |8073|        |1.15    |
|HR 1882|         |05 30 15.91|-63 55 40.1| 6.19|0.22    |1882|        |0.16    |
|HR 6828|         |18 19 40.20|-63 53 12.8| 6.18|0.58    |6828|0.017   |0.07    |
|HR 2360|         |06 24 55.61|-63 49 40.1| 6.27|-0.13   |2360|        |-0.45   |
|HR 5527|         |14 52 34.99|-63 48 36.0| 5.87|0.72    |5527|        |0.22    |
|HR 3217|         |08 08 24.50|-63 48 04.0| 6.28|-0.06   |3217|        |        |
|HR 4736|         |12 27 24.60|-63 47 21.1| 6.00|0.07    |4736|        |        |
|HR 4537|         |11 49 41.09|-63 47 17.9| 4.32|-0.15   |4537|        |-0.59   |
|HR 5939|         |16 01 10.70|-63 46 36.1| 6.41|0.78    |5939|        |0.54    |
|HR 833 |Gam Hor  |02 45 27.50|-63 42 15.8| 5.74|0.93    | 833|        |0.63    |
|HR 6796|         |18 14 16.20|-63 41 21.8| 6.47|1.41    |6796|        |        |
|HR 5241|         |13 57 38.90|-63 41 12.1| 4.71|1.11    |5241|0.033   |1.04    |
|HR 6030|Del TrA  |16 15 26.30|-63 41 08.2| 3.85|1.11    |6030|0.029   |0.86    |
|HR 2337|         |06 23 01.30|-63 40 59.2| 6.27|1.60    |2337|        |2.01    |
|HR 6745|Pi  Pav  |18 08 34.80|-63 40 05.9| 4.35|0.22    |6745|0.036   |0.18    |
|HR 5623|         |15 09 25.49|-63 38 34.1| 6.28|0.06    |5623|        |        |
|HR 5666|Eps Cir  |15 17 38.90|-63 36 38.2| 4.86|1.25    |5666|0.004   |1.32    |
|HR 3159|         |08 00 19.99|-63 34 03.0| 4.82|-0.17   |3159|        |-0.62   |
|HR 4771|         |12 31 55.80|-63 30 22.0| 5.95|0.27    |4771|        |        |
|HR 1236|         |03 56 04.01|-63 27 49.0| 6.14|1.10    |1236|        |1.02    |
|HR 5897|Bet TrA  |15 55 08.50|-63 25 50.2| 2.85|0.29    |5897|0.083   |0.05    |
|HR 2354|         |06 24 26.30|-63 25 44.0| 6.46|0.66    |2354|        |        |
|HR 7707|         |20 14 26.90|-63 24 56.9| 6.09|0.31    |7707|        |0.09    |
|HR 1695|         |05 07 34.01|-63 23 58.9| 5.20|1.65    |1695|0.018   |1.85    |
|HR 1395|Eta Ret  |04 21 53.30|-63 23 11.0| 5.24|0.96    |1395|0.016   |0.69    |
|HR 4599|The1Cru  |12 03 01.51|-63 18 46.1| 4.33|0.27    |4599|0.021   |0.04    |
|HR 4972|         |13 11 53.11|-63 18 10.1| 6.33|0.44    |4972|        |0.35    |
|HR 3139|         |07 57 12.50|-63 17 48.8| 6.14|-0.10   |3139|        |        |
|HR 4563|         |11 54 59.81|-63 16 44.0| 5.91|0.19    |4563|        |0.01    |
|HR 6253|         |16 55 24.70|-63 16 10.9| 6.02|0.05    |6253|        |        |
|HR 1372|The Ret  |04 17 40.20|-63 15 20.2| 5.87|-0.07   |1372|        |-0.26   |
|HR 7732|         |20 19 03.00|-63 13 52.0| 6.27|1.04    |7732|        |        |
|HR 1540|         |04 44 57.89|-63 13 46.9| 6.46|1.08    |1540|        |1.00    |
|HR 5289|         |14 08 14.30|-63 12 29.2| 6.40|1.02    |5289|        |        |
|HR 2754|         |07 12 01.99|-63 11 24.0| 6.02|-0.02   |2754|0.005   |        |
|HR 8689|         |22 52 09.91|-63 11 19.0| 6.12|1.03    |8689|        |0.94    |
|HR 4603|The2Cru  |12 04 19.20|-63 09 56.2| 4.72|-0.08   |4603|        |-0.61   |
|HR 6089|         |16 25 22.01|-63 07 28.9| 6.15|0.03    |6089|        |        |
|HR 4729|         |12 26 30.91|-63 07 21.0| 4.86|-0.12   |4729|        |-0.59   |
|HR 8919|         |23 29 01.01|-63 06 38.9| 5.68|-0.17   |8919|        |        |
|HR 4731|Alp2Cru  |12 26 36.50|-63 05 57.8| 1.73|-0.26   |4731|0.008   |-0.95   |
|HR 4730|Alp1Cru  |12 26 35.90|-63 05 57.1| 1.33|-0.24   |4730|0.008   |-1.03   |
|HR 2102|         |05 54 06.10|-63 05 24.0| 4.65|1.05    |2102|0.048   |0.96    |
|HR 4830|         |12 42 50.30|-63 03 31.0| 5.31|0.27    |4830|        |-0.79   |
|HR 6805|         |18 15 40.90|-63 03 20.2| 5.60|0.92    |6805|        |        |
|HR 6471|         |17 28 07.70|-63 02 11.0| 6.24|-0.09   |6471|        |        |
|HR 136 |Bet3Tuc  |00 32 43.80|-63 01 52.0| 5.09|0.04    | 136|0.049   |0.02    |
|HR 6871|         |18 25 31.51|-63 01 17.0| 6.14|0.20    |6871|        |        |
|HR 4467|Lam Cen  |11 35 46.80|-63 01 10.9| 3.13|-0.04   |4467|        |-0.17   |
|HR 127 |Bet2Tuc  |00 31 33.60|-62 57 56.9| 4.54|0.15    | 127|0.030   |0.03    |
|HR 126 |Bet1Tuc  |00 31 32.71|-62 57 29.2| 4.37|-0.07   | 126|0.030   |-0.17   |
|HR 9060|         |23 57 19.90|-62 57 23.0| 5.97|0.11    |9060|        |0.10    |
|HR 4644|         |12 12 22.01|-62 57 02.9| 5.92|0.29    |4644|        |-0.33   |
|HR 1083|Kap Ret  |03 29 22.70|-62 56 15.0| 4.72|0.40    |1083|0.060   |-0.04   |
|HR 3260|         |08 15 15.91|-62 54 56.9| 5.16|0.09    |3260|0.031   |0.10    |
|HR 866 |         |02 52 19.20|-62 54 34.9| 6.03|1.25    | 866|        |        |
|HR 7872|         |20 39 51.41|-62 54 28.1| 6.22|1.10    |7872|        |        |
