|name   |alt_name |ra         |dec        |vmag |bv_color|hr  |parallax|ub_color|
|HR 8481|Eps Oct  |22 20 01.51|-80 26 22.9| 5.10|1.47    |8481|        |1.09    |
|HR 6837|         |18 29 19.49|-80 13 58.1| 5.95|1.16    |6837|        |1.27    |
|HR 1426|Del Men  |04 17 59.09|-80 12 50.0| 5.69|0.84    |1426|        |0.53    |
|HR 550 |Tau2Hyi  |01 47 46.51|-80 10 36.1| 6.06|0.34    | 550|        |0.04    |
|HR 8663|Xi  Oct  |22 50 22.90|-80 07 27.1| 5.35|-0.15   |8663|        |-0.50   |
|HR 5336|Eps Aps  |14 22 22.70|-80 06 32.0| 5.06|-0.10   |5336|        |-0.57   |
|HR 8201|         |21 33 20.59|-80 02 21.1| 6.47|0.04    |8201|        |0.05    |
|HR 4206|         |10 41 51.29|-79 46 59.9| 5.97|-0.07   |4206|        |-0.51   |
|HR 4385|         |11 18 34.30|-79 40 07.0| 6.35|0.26    |4385|        |0.08    |
|HR 4268|         |10 52 27.50|-79 33 33.8| 6.33|1.46    |4268|        |1.57    |
|HR 3543|         |08 45 55.20|-79 30 15.8| 5.79|1.60    |3543|        |1.97    |
|HR 8786|         |23 08 23.71|-79 28 50.9| 6.12|0.14    |8786|        |0.10    |
|HR 8849|         |23 19 08.11|-79 28 22.1| 6.33|0.91    |8849|        |0.66    |
|HR 8234|         |21 38 56.21|-79 26 33.0| 6.18|0.46    |8234|        |0.02    |
|HR 2689|The Men  |06 56 34.39|-79 25 13.1| 5.45|0.05    |2689|        |-0.07   |
|HR 2125|Kap Men  |05 50 16.70|-79 21 41.0| 5.47|-0.08   |2125|        |-0.24   |
|HR 4674|Bet Cha  |12 18 20.69|-79 18 43.9| 4.26|-0.12   |4674|        |-0.51   |
|HR 4509|         |11 42 55.39|-79 18 23.0| 6.39|0.90    |4509|        |0.59    |
|HR 516 |Tau1Hyi  |01 41 21.31|-79 08 53.9| 6.33|0.94    | 516|        |0.69    |
|HR 776 |Mu  Hyi  |02 31 40.51|-79 06 33.8| 5.28|0.98    | 776|0.001   |0.73    |
|HR 2919|Eps Men  |07 25 37.99|-79 05 39.1| 5.53|1.28    |2919|-0.002  |1.42    |
|HR 3524|         |08 43 12.41|-79 04 10.9| 6.05|0.23    |3524|        |0.08    |
|HR 5470|Alp Aps  |14 47 51.60|-79 02 40.9| 3.83|1.43    |5470|0.029   |1.68    |
|HR 981 |         |03 07 31.99|-78 59 21.8| 5.57|0.30    | 981|        |0.09    |
|HR 3502|Eta Cha  |08 41 19.51|-78 57 47.9| 5.47|-0.10   |3502|        |-0.35   |
|HR 6102|Gam Aps  |16 33 27.00|-78 53 49.9| 3.89|0.91    |6102|0.056   |0.62    |
|HR 1991|Iot Men  |05 35 36.31|-78 49 14.9| 6.05|-0.02   |1991|        |-0.33   |
|HR 8995|         |23 44 40.70|-78 47 29.0| 5.75|1.11    |8995|        |1.07    |
|HR 64  |         |00 16 49.01|-78 46 50.2| 6.77|0.46    |  64|        |0.08    |
|HR 8577|         |22 35 26.40|-78 46 18.1| 6.15|1.38    |8577|        |1.35    |
|HR 6020|Del1Aps  |16 20 20.81|-78 41 44.9| 4.68|1.69    |6020|0.020   |1.69    |
|HR 6021|Del2Aps  |16 20 26.81|-78 40 01.9| 5.27|1.41    |6021|0.020   |1.62    |
|HR 4174|Gam Cha  |10 35 28.10|-78 36 28.1| 4.11|1.58    |4174|0.009   |1.95    |
|HR 5240|         |14 00 32.81|-78 35 24.0| 6.09|0.03    |5240|        |-0.17   |
|HR 4649|         |12 13 55.70|-78 34 25.0| 6.35|1.24    |4649|        |1.41    |
|HR 467 |         |01 33 39.19|-78 30 16.9| 6.11|0.97    | 467|        |0.70    |
|HR 4976|         |13 14 17.21|-78 26 49.9| 5.85|1.07    |4976|        |0.72    |
|HR 1109|         |03 29 58.80|-78 21 06.8| 5.70|0.93    |1109|        |0.65    |
|HR 593 |Sig Hyi  |01 55 50.50|-78 20 53.9| 6.16|0.44    | 593|        |0.01    |
|HR 1154|         |03 36 30.00|-78 19 23.2| 6.29|1.15    |1154|        |1.03    |
|HR 1682|         |05 00 13.20|-78 18 01.1| 6.29|1.51    |1682|        |1.88    |
|HR 4583|Eps Cha  |11 59 37.30|-78 13 18.8| 4.91|-0.06   |4583|0.012   |-0.16   |
|HR 5757|         |15 39 18.29|-77 55 05.2| 6.18|1.20    |5757|        |1.36    |
|HR 6994|         |18 47 49.39|-77 52 01.9| 6.39|0.60    |6994|        |0.13    |
|HR 5306|         |14 16 54.89|-77 39 50.0| 6.47|1.42    |5306|        |1.42    |
|HR 8370|         |22 01 52.10|-77 39 45.0| 6.41|0.22    |8370|        |0.08    |
|HR 1531|         |04 38 21.70|-77 39 22.0| 6.05|1.10    |1531|        |0.95    |
|HR 3000|         |07 36 04.20|-77 38 03.1| 6.18|1.73    |3000|        |2.03    |
|HR 4397|         |11 21 57.10|-77 36 29.9| 6.43|0.20    |4397|        |0.11    |
|HR 5082|         |13 33 14.81|-77 34 05.9| 6.48|0.48    |5082|0.034   |-0.06   |
|HR 6163|Bet Aps  |16 43 04.61|-77 31 03.0| 4.24|1.06    |6163|0.034   |0.95    |
|HR 8471|Psi Oct  |22 17 50.50|-77 30 42.1| 5.51|0.31    |8471|        |0.12    |
|HR 3340|The Cha  |08 20 38.50|-77 29 03.8| 4.35|1.16    |3340|0.036   |1.20    |
|HR 87  |         |00 21 28.61|-77 25 36.8| 5.97|1.40    |  87|        |1.40    |
|HR 8254|Nu  Oct  |21 41 28.49|-77 23 24.0| 3.76|1.00    |8254|0.053   |0.89    |
|HR 1025|Iot Hyi  |03 15 57.60|-77 23 17.9| 5.52|0.44    |1025|        |0.00    |
|HR 8935|         |23 33 19.49|-77 23 07.1| 5.81|0.68    |8935|        |0.31    |
|HR 98  |Bet Hyi  |00 25 45.10|-77 15 15.1| 2.80|0.62    |  98|0.153   |0.11    |
|HR 5547|         |15 00 11.81|-77 09 37.1| 5.93|1.05    |5547|        |0.81    |
|HR 9084|The Oct  |00 01 35.71|-77 03 56.9| 4.78|1.27    |9084|0.017   |1.41    |
|HR 8664|         |22 49 40.90|-77 03 02.2| 6.73|0.11    |8664|        |0.10    |
|HR 8021|Alp Oct  |21 04 43.01|-77 01 26.0| 5.15|0.49    |8021|0.025   |0.13    |
|HR 3318|Alp Cha  |08 18 31.61|-76 55 10.9| 4.07|0.39    |3318|0.053   |-0.02   |
|HR 8957|         |23 38 24.10|-76 52 12.0| 6.00|0.90    |8957|        |0.65    |
|HR 5261|The Aps  |14 05 19.80|-76 47 48.1| 5.50|1.55    |5261|        |1.05    |
|HR 3902|Nu  Cha  |09 46 20.59|-76 46 34.0| 5.45|0.89    |3902|0.019   |0.57    |
|HR 5389|         |14 29 36.79|-76 43 45.1| 6.07|1.18    |5389|        |1.11    |
|HR 3695|         |09 12 12.31|-76 39 47.2| 6.14|1.09    |3695|        |0.99    |
|HR 5540|         |14 57 52.90|-76 39 46.1| 5.34|1.45    |5540|0.008   |1.70    |
|HR 4605|Kap Cha  |12 04 46.51|-76 31 09.1| 5.04|1.49    |4605|0.003   |1.78    |
|HR 1953|Gam Men  |05 31 52.90|-76 20 28.0| 5.19|1.13    |1953|0.020   |1.19    |
|HR 4170|         |10 35 24.79|-76 18 33.1| 6.30|1.20    |4170|        |1.27    |
|HR 8052|         |21 08 47.90|-76 12 45.0| 6.58|1.23    |8052|        |1.18    |
|HR 7863|Mu 1Oct  |20 42 02.90|-76 10 50.2| 6.00|0.44    |7863|        |0.11    |
|HR 6635|         |17 57 41.81|-76 10 39.0| 6.07|1.20    |6635|        |1.28    |
|HR 8380|         |22 03 03.79|-76 07 07.0| 5.95|0.39    |8380|        |0.11    |
|HR 8432|         |22 11 55.30|-76 06 58.0| 6.15|1.00    |8432|        |0.82    |
|HR 5786|         |15 41 54.60|-76 04 54.8| 5.95|-0.04   |5786|        |-0.16   |
|HR 58  |         |00 15 55.20|-75 54 41.0| 6.49|1.00    |  58|        |0.72    |
|HR 4479|Pi  Cha  |11 37 15.60|-75 53 48.1| 5.65|0.35    |4479|        |0.00    |
|HR 6731|         |18 11 15.70|-75 53 29.0| 5.86|1.24    |6731|0.016   |1.43    |
|HR 8420|         |22 10 42.50|-75 52 50.2| 6.55|1.18    |8420|        |1.30    |
|HR 5115|         |13 39 11.90|-75 41 02.0| 6.34|0.01    |5115|        |-0.26   |
|HR 4804|         |12 39 14.50|-75 22 09.8| 6.49|0.08    |4804|        |-0.24   |
|HR 4617|         |12 07 49.80|-75 22 00.8| 5.18|1.30    |4617|0.020   |1.37    |
|HR 7864|Mu 2Oct  |20 41 43.70|-75 21 02.2| 6.55|0.62    |7864|        |0.25    |
|HR 8111|         |21 18 16.10|-75 20 48.1| 6.63|0.03    |8111|        |0.00    |
|HR 4387|         |11 19 36.29|-75 08 33.0| 6.27|-0.03   |4387|        |-0.12   |
|HR 4279|         |10 57 15.70|-75 05 58.9| 6.13|1.53    |4279|        |1.64    |
|HR 872 |Nu  Hyi  |02 50 28.51|-75 04 00.8| 4.75|1.33    | 872|0.011   |1.56    |
|HR 6829|Phi Oct  |18 23 36.10|-75 02 39.1| 5.47|0.02    |6829|        |0.04    |
|HR 5555|         |14 59 55.99|-75 01 57.0| 6.20|-0.04   |5555|        |-0.20   |
|HR 8526|         |22 25 51.00|-75 00 56.2| 6.04|0.64    |8526|        |0.14    |
|HR 1629|Eta Men  |04 55 11.21|-74 56 12.8| 5.47|1.52    |1629|0.026   |1.83    |
|HR 236 |Lam Hyi  |00 48 35.40|-74 55 23.9| 5.07|1.37    | 236|0.025   |1.68    |
|HR 3720|         |09 17 25.39|-74 53 39.8| 5.29|0.02    |3720|        |0.04    |
|HR 5042|Iot1Mus  |13 25 07.10|-74 53 16.1| 5.05|1.11    |5042|0.016   |1.01    |
|HR 5279|         |14 08 27.10|-74 51 01.1| 6.02|0.58    |5279|0.041   |0.06    |
|HR 2261|Alp Men  |06 10 14.40|-74 45 11.2| 5.09|0.72    |2261|0.115   |0.33    |
|HR 3721|         |09 17 27.41|-74 44 04.9| 5.86|-0.02   |3721|        |-0.04   |
|HR 5051|Iot2Mus  |13 27 18.29|-74 41 30.8| 6.63|-0.06   |5051|        |-0.24   |
|HR 6373|         |17 16 35.59|-74 31 59.2| 6.25|-0.01   |6373|        |0.00    |
|HR 4186|         |10 39 16.61|-74 29 37.0| 6.07|1.71    |4186|        |1.91    |
|HR 2979|         |07 35 21.70|-74 16 32.2| 7.16|-0.02   |2979|0.010   |-0.24   |
|HR 2980|         |07 35 21.79|-74 16 32.2| 7.26|        |2980|0.010   |        |
|HR 1208|Gam Hyi  |03 47 14.30|-74 14 20.0| 3.24|1.62    |1208|0.005   |1.99    |
|HR 4601|         |12 03 44.30|-74 12 50.0| 6.44|1.23    |4601|        |0.97    |
|HR 4102|         |10 24 23.71|-74 01 54.1| 4.00|0.35    |4102|0.086   |-0.01   |
|HR 4105|         |10 24 44.30|-73 58 18.1| 6.19|0.07    |4105|        |0.11    |
