source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
2288743816696215808,298.46699687635953,75.0274219074381,36.50250578980253,-209.87784368996785,-150.43370955247775,11.524959,12.687434,10.454708
4314134674268223488,287.74105652861425,13.391679239447283,36.50244785878285,4.065939089784142,-10.24597332777881,20.609612,21.529144,19.277027
5131045975099845376,34.86788750325163,-19.645455923917247,36.500873901191504,211.18713285284497,-143.12154356511093,19.05083,22.140144,17.317926
5295291743615591936,118.09001335116164,-57.45202673637819,36.49965775490135,-38.42022652328985,44.40598802099937,12.023001,13.220673,10.613703
5087416219839772800,58.0983604223486,-22.881098607572763,36.497473590279895,426.883388286724,200.47431441135365,11.344056,12.469742,10.252178
4211671872797771648,291.30138805342955,-4.639236859961697,36.497294901810825,60.479529114196545,107.62995883465777,11.879483,13.032053,10.813182
2020313518955595776,295.30467594764156,23.699427379254672,36.49618825692114,-4.592964279296001,19.79706441831101,20.861303,21.250446,19.099463
462116220235041920,48.6379158504853,59.43701371027249,36.496031483567414,169.90264152972387,-165.72074550149057,12.235806,12.459658,9.989051
5277820503851295872,126.15008920287374,-62.274153937972336,36.495770997500706,1.151310648904193,-110.11761474998035,14.072169,15.640315,12.847829
4124239567169627520,263.3290492766716,-17.410736652295174,36.49515814843892,-17.529970635560826,-0.9020608680123627,20.315004,20.897362,19.043081
4465681461355625984,246.6395550309831,15.666134263593605,36.49236322066468,9.327343308564181,265.25863010144656,9.95516,10.755977,9.0794525
4077382607868710144,276.5968995278811,-24.083709308269917,36.49080670735526,-22.45838691085731,1.262856884118176,19.154196,19.430742,17.8219
451548332947465472,36.928375919762594,50.57849535230549,36.49077239176383,27.593950705212606,-43.778309433904276,14.75858,16.78465,13.43778
2019770703851357568,293.14217937096186,23.956974183714813,36.489425478946785,-7.209733363631248,-19.16346825210503,20.77047,21.590313,19.220797
1522552819668322688,196.37264680115757,37.13544693230258,36.48915972989507,-327.2172243226202,-215.29538427921915,11.426949,11.952851,9.630281
748536181771608704,157.59663700783327,32.83535686599333,36.48762099287406,-395.5237768150661,-386.4936959450383,11.611382,12.96935,10.450965
4178967960283848192,271.1205994708829,-1.1918438541524339,36.486276958231485,-45.27973848334252,-52.435537257603386,15.031866,16.972467,13.623877
5940508153511960192,249.11451749413132,-49.312468179663455,36.48216156147978,-46.8116694199302,-580.1031429437307,11.694091,12.632971,10.344277
5864676176524328832,207.83965945584617,-63.18566928475544,36.48204754440446,-32.219749696584145,-1.0206271399575195,20.882475,21.595284,18.8825
5954235964151505408,268.0580674373112,-45.86303712688452,36.47835529945681,-77.74325564002474,16.938415677255644,12.367975,13.903904,11.157417
5504230976167700224,109.89861788474073,-50.848138592278865,36.47802884399692,189.7422858648049,-55.344690698625556,13.218711,14.787065,12.006333
925532265076649472,118.30598914907088,42.498714311627445,36.47592121604996,107.56631153108762,-394.8670205604685,17.233337,17.802542,16.52674
4559848344443069952,252.5218005724547,18.900096271068907,36.47370221390011,-46.93028384949741,-71.97618764828454,8.527815,9.069615,7.833668
2245067199050291328,309.5685709321429,63.82743667315383,36.47315016865006,143.96235949986382,114.27856484589942,14.519739,16.547102,13.18979
4925394522833770368,12.411859437998189,-51.872282756433094,36.47058705933314,384.9159450968704,-885.9909507671923,15.106172,17.114735,13.784063
4296249674511611520,291.40724928831725,8.42414166238226,36.46989981181926,10.0351215506212,-24.976217740401996,20.365149,20.5746,18.805046
6034535845265993728,253.91234241921978,-25.479355303554186,36.469055663194986,-19.776275617139508,25.21302600239892,19.714443,,
4118931296878930176,266.5849750006412,-20.623817859489172,36.46848761166412,-17.799821559141414,7.086235281159023,20.340076,20.758705,18.586033
5602894552576215808,106.31715883096476,-33.674408078500846,36.46543634483174,-147.44708497514017,-107.94713571125246,15.957017,18.889652,14.479498
2808766710160351872,13.702051483224732,27.517738988749326,36.46482478982455,341.4633608526797,14.724528063939454,13.450095,15.21473,12.184894
724229140777022208,159.73598772756753,25.094169123303143,36.463177205872576,-176.34730840248528,-73.6247531619927,11.414766,12.552739,10.355996
6477114289313395328,315.08889460132485,-51.264726458819,36.46108868439926,-86.96035583134426,132.06561023633813,5.643579,5.888666,5.2317314
1743167182081842304,318.4356800987947,8.766962544078828,36.4589007463829,150.5156272226816,-71.95715853845738,11.20709,12.370945,10.137016
1814415604283845248,312.1416015939294,19.879568710965916,36.45647960866245,113.2277705758234,84.89811683853267,13.135955,14.7516365,11.9121275
5027726757224514176,16.806548110616923,-32.4304066794417,36.45568751112164,-13.408711831013047,-160.5676862653969,9.997399,10.890843,9.063685
5329184189553837184,129.15055862758055,-48.636139155066154,36.45538833843038,-91.72501823234846,-12.856023372990215,15.43614,17.914225,13.6203575
3379956708664289280,104.03612631255524,22.19321833081537,36.4549597824204,-170.05536103099186,-160.4631472622262,15.697397,18.104969,14.303046
1632110529080430592,256.8658244142802,64.62557738748446,36.4534941965787,-129.9575818611973,223.4293888485039,14.74714,,
802677611798044032,153.77693328563242,39.51762239888125,36.452874245681656,39.996678443619984,156.84393817183113,9.648188,10.377398,8.820688
6617978530741987456,328.89529839311945,-28.05097301808814,36.451422824746516,-168.17536975649992,-70.37621289213801,13.861361,15.54009,12.621562
2235968637250218368,297.0645119152378,59.42341979044558,36.448962374214595,16.39574027040071,116.55037205227731,6.5117016,6.799694,6.0571256
3094290019967631360,120.58423875672642,3.327069315361786,36.44827179499152,-399.4153434848449,-380.73698255160565,15.9218235,18.527391,14.497227
5869969053738580608,202.1418896834522,-59.740718804734726,36.44764259706745,-11.513740027206856,-0.7089021857714991,20.74179,20.786268,18.6237
4119941335744344960,266.5004668735931,-19.07724547795653,36.4474239076011,-14.775611586114854,6.650830785701816,20.141867,20.628109,18.6789
3346787986201584896,89.01601210041528,13.922768938376445,36.44736649873669,372.93270666356494,-482.7948216083416,6.46059,6.7832355,5.9625206
3271754323425685248,56.317848784393966,4.042135074195913,36.44709299680643,301.9990951910281,-381.8423761080833,14.077998,15.703664,12.852063
5158286375678363648,41.063919525860896,-13.604637146829347,36.446182589272304,188.06319243597312,-101.13524590019871,13.976489,15.716274,12.713991
568484383856524288,56.210260118023996,81.88960725470427,36.44532992626505,231.7715867972987,-381.4347111271207,15.377472,17.642113,14.010809
